"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Season","Crop.ID","Crop.name","ag5a_01","ag5a_02_1","ag5a_02_2","ag5a_03","ag5a_12_1","ag5a_20","ag5a_21","ag5a_21_other","ag5a_22","ag5a_24","ag5a_24_other","ag5a_25","ag5a_26"
"26","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wGsPM221dM8","2015-03-29T00:00:00Z","short_rainy","44","",1,100,NA,100,"2014-01-01",2,"","",NA,"1","",NA,NA
"27","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z","long_rainy","11","Maize",2,NA,NA,NA,"",1,"5b","",7,"2","",NA,NA
"28","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","pdf1PrAkhV","2015-05-15T00:00:00Z","short_rainy","45","",1,1500,NA,525,"2013-12-01",2,"","",NA,"2","",NA,NA
"29","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","eaQik5x8C35","2014-09-27T00:00:00Z","short_rainy","24","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"30","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z","short_rainy","24","",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest yam",NA,NA
"31","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","short_rainy","45","",1,21000,NA,2940,"2013-12-01",2,"","",NA,"2","",NA,NA
"32","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z","long_rainy","56","Cocoa",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"33","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","C7yu9JZpZ96","2014-09-28T00:00:00Z","long_rainy","11","Maize",1,150,NA,70,"2013-05-01",2,"","",NA,"2","",NA,NA
"34","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z","short_rainy","57","",2,NA,NA,NA,"",2,"","",NA,"1","",NA,NA
"35","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-15T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"36","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","long_rainy","12","Paddy",1,1020,NA,1190,"2014-05-01",2,"","",NA,"2","",NA,NA
"37","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wbguRJt7c17","2014-09-02T00:00:00Z","short_rainy","76","",1,400,NA,600,"2013-03-01",1,"1","",1,"1","",NA,NA
"38","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wbguRJt7c17","2014-09-02T00:00:00Z","short_rainy","56","",1,256,NA,848,"2013-10-01",2,"","",NA,"2","",NA,NA
"39","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1P6K2wcxu7","2015-05-15T00:00:00Z","long_rainy","21","Cassava",1,240,NA,160,"2013-05-01",2,"","",NA,"2","",NA,NA
"40","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","eYyzj3xgGn8","2014-09-08T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",2,"","",NA,"1","",NA,NA
"41","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UmXMMFYwnL4","2014-09-28T00:00:00Z","long_rainy","100","Okra",1,20,NA,800,"2013-08-01",2,"","",NA,"","",NA,NA
"42","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","uCZDB9k9WmA","2015-04-01T00:00:00Z","short_rainy","56","",1,65,NA,150,"2014-01-01",2,"","",NA,"2","",NA,NA
"43","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","2Q7MnSV2oJ5","2014-09-06T00:00:00Z","long_rainy","76","Orange",1,600,NA,360,"2014-06-01",2,"","",NA,"","",NA,NA
"44","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UmXMMFYwnL4","2014-09-28T00:00:00Z","short_rainy","11","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"45","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wGsPM221dM8","2015-03-29T00:00:00Z","short_rainy","76","",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest oranges",NA,NA
"46","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","long_rainy","71","Banana",1,160,NA,300,"2013-07-01",2,"","",NA,"2","",NA,NA
"47","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","short_rainy","56","",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest cocoa in the short raining season",NA,NA
"48","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","SGWDY8X7yo4","2015-03-29T00:00:00Z","short_rainy","56","",1,2535,NA,5850,"2013-12-01",2,"","",NA,"2","",NA,NA
"49","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QFh29fHsCvA","2015-04-28T00:00:00Z","short_rainy","44","",1,600,NA,2400,"2013-12-01",2,"","",NA,"2","",NA,NA
